Column name,Null,MAX,DATA TYPE,,0,Column name+,is_predictor,lambda,,
sale_price,0,9400000,#N/A,,0,sale_price+,#N/A,#N/A,sale_price+,sale_price+
meta_class,0,295,character,,0,meta_class+,FALSE,-113.1442,meta_class+,meta_class+
meta_town_code,0,77,character,,0,meta_town_code+,TRUE,622.7516,meta_town_code+,meta_town_code+
meta_nbhd,0,77170,character,,0,meta_nbhd+,TRUE,.,meta_nbhd+,meta_nbhd+
meta_certified_est_bldg,0,7420110,numeric,,0,meta_certified_est_bldg+,FALSE,0.8738985,meta_certified_est_bldg+,meta_certified_est_bldg+
meta_certified_est_land,0,3401640,numeric,,0,meta_certified_est_land+,FALSE,1.486117,meta_certified_est_land+,meta_certified_est_land+
char_hd_sf,0,535458,numeric,,0,char_hd_sf+,TRUE,-1.603682,char_hd_sf+,char_gar1_size+
meta_deed_type,0,0,character,,0,meta_deed_type+,FALSE,.,meta_deed_type+,meta_deed_type+
char_age,0,170,numeric,,0,char_age+,TRUE,79.88381,char_age+,char_hd_sf+
char_rooms,0,48,numeric,,0,char_rooms+,TRUE,99.83413,char_rooms+,char_age+
char_beds,0,24,numeric,,0,char_beds+,TRUE,-3941.768,char_beds+,char_type_resd+
char_fbath,0,12,numeric,,0,char_fbath+,TRUE,18160.87,char_fbath+,ind_garage+
char_hbath,0,8,numeric,,0,char_hbath+,TRUE,3246.159,char_hbath+,char_bsmt+
char_bldg_sf,0,15486,numeric,,0,char_bldg_sf+,TRUE,16.00173,char_bldg_sf+,char_rooms+
econ_tax_rate,0,38.591,numeric,90,90,as.factor(econ_tax_rate)+,TRUE,1757.168,econ_tax_rate+,char_beds+
ind_garage,23,0,logical,90,90,as.factor(ind_garage)+,TRUE,.,ind_garage+,char_frpl+
char_gar1_size,23,8,categorical,90,90,as.factor(char_gar1_size)+,TRUE,9.513675,char_gar1_size+,char_bsmt_fin+
char_type_resd,23,9,categorical,90,90,as.factor(char_type_resd)+,TRUE,-1085.511,char_type_resd+,char_air+
char_air,26,2,categorical,90,90,as.factor(char_air)+,TRUE,-8115.794,char_air+,char_ext_wall+
char_bsmt_fin,26,3,categorical,90,90,as.factor(char_bsmt_fin)+,TRUE,-9604.022,char_bsmt_fin+,char_use+
char_bsmt,26,4,categorical,90,90,as.factor(char_bsmt)+,TRUE,-5647.166,char_bsmt+,char_attic_type+
char_attic_type,27,3,categorical,90,90,as.factor(char_attic_type)+,TRUE,-1269.183,char_attic_type+,char_fbath+
char_frpl,27,7,numeric,90,90,as.factor(char_frpl)+,TRUE,8957.52,char_frpl+,char_roof_cnst+
char_use,28,2,categorical,90,90,as.factor(char_use)+,TRUE,-30307.58,char_use+,char_hbath+
char_ext_wall,29,4,categorical,10,10,as.factor(char_ext_wall)+,TRUE,-3538.815,char_ext_wall+,char_heat+
char_site,29,3,categorical,90,90,as.factor(char_site)+,FALSE,5168.1,char_site+,char_site+
char_repair_cnd,29,3,categorical,90,90,as.factor(char_repair_cnd)+,FALSE,-442.7185,char_repair_cnd+,char_repair_cnd+
char_cnst_qlty,55,2,categorical,90,90,as.factor(char_cnst_qlty)+,FALSE,23460.26,char_cnst_qlty+,char_cnst_qlty+
geo_property_city,117,0,character,90,90,as.factor(geo_property_city)+,FALSE,.,geo_property_city+,geo_property_city+
geo_property_zip,117,60827,character,90,90,as.factor(geo_property_zip)+,FALSE,.,geo_property_zip+,geo_property_zip+
geo_tract_pop,157,19889,numeric,90,90,as.factor(geo_tract_pop)+,FALSE,-2.441414,geo_tract_pop+,geo_tract_pop+
geo_white_perc,157,0.960446071,numeric,90,90,as.factor(geo_white_perc)+,FALSE,41023.01,geo_white_perc+,geo_white_perc+
char_ot_impr,0,21993,numeric,,0,char_ot_impr+,FALSE,-5.005246,char_ot_impr+,char_ot_impr+
char_heat,29,4,categorical,90,90,as.factor(char_heat)+,TRUE,.,char_heat+,geo_ohare_noise+
geo_black_perc,157,1,numeric,90,90,as.factor(geo_black_perc)+,FALSE,-39377.65,geo_black_perc+,geo_black_perc+
geo_asian_perc,157,0.844903988,numeric,90,90,as.factor(geo_asian_perc)+,FALSE,-5707.19,geo_asian_perc+,geo_asian_perc+
geo_his_perc,157,0.955716222,numeric,90,90,as.factor(geo_his_perc)+,FALSE,.,geo_his_perc+,geo_his_perc+
geo_other_perc,157,0.103538283,numeric,90,90,as.factor(geo_other_perc)+,FALSE,165349.3,geo_other_perc+,geo_other_perc+
char_roof_cnst,29,6,categorical,10,10,as.factor(char_roof_cnst)+,TRUE,12813.33,char_roof_cnst+,char_bldg_sf+
geo_school_elem_district,157,0,character,90,90,as.factor(geo_school_elem_district)+,TRUE,.,geo_school_elem_district+,geo_school_hs_district+
geo_school_hs_district,157,0,character,90,90,as.factor(geo_school_hs_district)+,TRUE,.,geo_school_hs_district+,econ_midincome+
geo_ohare_noise,157,1,logical,90,90,as.factor(geo_ohare_noise)+,TRUE,-4706.298,geo_ohare_noise+,geo_floodplain+
geo_floodplain,157,1,logical,90,90,as.factor(geo_floodplain)+,TRUE,-14994.37,geo_floodplain+,geo_fs_flood_factor+
geo_fs_flood_risk_direction,157,1,numeric,90,90,as.factor(geo_fs_flood_risk_direction)+,TRUE,-806.9309,geo_fs_flood_risk_direction+,geo_withinmr100+
geo_withinmr100,157,1,logical,90,90,as.factor(geo_withinmr100)+,TRUE,-43521.49,geo_withinmr100+,geo_withinmr101300+
geo_withinmr101300,157,1,logical,90,90,as.factor(geo_withinmr101300)+,TRUE,-13830.85,geo_withinmr101300+,geo_school_elem_district+
geo_fs_flood_factor,157,10,numeric,90,90,as.factor(geo_fs_flood_factor)+,TRUE,1755.785,geo_fs_flood_factor+,geo_fs_flood_risk_direction+
econ_midincome,157,250001,numeric,90,90,as.factor(econ_midincome)+,TRUE,0.5391091,econ_midincome+,char_oheat+
geo_fips,1110,83518,character,90,90,as.factor(geo_fips)+,FALSE,.,geo_fips+,geo_fips+
geo_municipality,1110,0,character,90,90,as.factor(geo_municipality)+,FALSE,.,geo_municipality+,geo_municipality+
char_oheat,158,5,categorical,90,90,as.factor(char_oheat)+,TRUE,363.0773,char_oheat+,char_gar1_cnst+
char_gar1_cnst,7228,4,categorical,90,90,as.factor(char_gar1_cnst)+,TRUE,.,char_gar1_cnst+,char_gar1_att+
char_gar1_att,7230,2,categorical,90,90,as.factor(char_gar1_att)+,TRUE,.,char_gar1_att+,char_gar1_area+
char_gar1_area,7231,2,categorical,90,90,as.factor(char_gar1_area)+,TRUE,.,char_gar1_area+,char_tp_plan+
char_tp_plan,14246,2,categorical,90,90,as.factor(char_tp_plan)+,TRUE,.,char_tp_plan+,char_tp_dsgn+
char_tp_dsgn,27166,2,categorical,90,90,as.factor(char_tp_dsgn)+,TRUE,.,char_tp_dsgn+,char_attic_fnsh+
char_attic_fnsh,33316,3,categorical,90,90,as.factor(char_attic_fnsh)+,TRUE,.,char_attic_fnsh+,char_porch+
char_porch,40634,3,categorical,90,90,as.factor(char_porch)+,TRUE,.,char_porch+,char_apts+
char_apts,43124,6,categorical,10,10,as.factor(char_apts)+,TRUE,.,char_apts+,econ_tax_rate+
meta_cdu,47184,0,character,10,10,as.factor(meta_cdu)+,FALSE,.,meta_cdu+,meta_cdu+
ind_large_home,0,0,logical,90,90,as.factor(ind_large_home)+,FALSE,.,ind_large_home+,ind_large_home+
char_renovation,49741,2,categorical,90,90,as.factor(char_renovation)+,FALSE,.,char_renovation+,char_renovation+
ind_arms_length,0,0,#N/A,,0,ind_arms_length+,#N/A,.,ind_arms_length+,ind_arms_length+
